model,cases,top1_accuracy,mean_reciprocal_rank,mean_best_expected_rank,mean_expected_margin,mean_latency_ms,p95_case_latency_ms,first_case_latency_ms,model_load_seconds,embedding_dimension,max_sequence_length,parameter_count,failed_cases,decision_score
MPNet,13,0.8461538461538461,0.9230769230769231,1.1538461538461537,0.06742568428699787,100.64148510772121,111.3385714614896,112.63083184614796,1.3935998030001429,768,384,109486464,0,107.36014968410046
BGE,13,0.7692307692307693,0.8717948717948718,1.3076923076923077,0.028760634935819186,101.91375564621782,112.68375060005313,114.34681538468375,1.398486829999456,768,512,109482240,0,97.98641751084473
MiniLM,13,0.46153846153846156,0.7051282051282051,1.6923076923076923,0.021089572172898512,24.483357323109747,29.187574738492774,30.060294384733986,1.8682173739998689,384,256,22713216,0,63.748113430549175
